"ODS Code","Measure","Percentage","Over Target","Total","Year"
"RXK","31 Day Wait for first treatment By Cancer","0.979","37","1739","2017"
"RBA","31 Day Wait for first treatment By Cancer","0.979","36","1677","2017"
"REM","31 Day Wait for first treatment By Cancer","0.976","35","1474","2017"
"RXQ","31 Day Wait for first treatment By Cancer","0.980","35","1767","2017"
"RXH","31 Day Wait for first treatment By Cancer","0.988","34","2785","2017"
"RLN","31 Day Wait for first treatment By Cancer","0.982","34","1865","2017"
"RTP","31 Day Wait for first treatment By Cancer","0.979","33","1594","2017"
"RXL","31 Day Wait for first treatment By Cancer","0.984","31","1888","2017"
"RN3","31 Day Wait for first treatment By Cancer","0.979","30","1419","2017"
"R1K","31 Day Wait for first treatment By Cancer","0.978","30","1354","2017"
"RWG","31 Day Wait for first treatment By Cancer","0.982","29","1620","2017"
"RKB","31 Day Wait for first treatment By Cancer","0.989","28","2481","2017"
"RF4","31 Day Wait for first treatment By Cancer","0.988","28","2405","2017"
"RNZ","31 Day Wait for first treatment By Cancer","0.976","27","1115","2017"
"RLQ","31 Day Wait for first treatment By Cancer","0.971","26","884","2017"
"RD1","31 Day Wait for first treatment By Cancer","0.987","25","1981","2017"
"RW6","31 Day Wait for first treatment By Cancer","0.987","23","1832","2017"
"RXR","31 Day Wait for first treatment By Cancer","0.990","23","2323","2017"
"RK5","31 Day Wait for first treatment By Cancer","0.984","23","1438","2017"
"RJ2","31 Day Wait for first treatment By Cancer","0.979","22","1049","2017"
"RGN","31 Day Wait for first treatment By Cancer","0.990","22","2108","2017"
"NV3","31 Day Wait for first treatment By Cancer","0.970","20","666","2017"
"RT3","31 Day Wait for first treatment By Cancer","0.948","20","387","2017"
"RNA","31 Day Wait for first treatment By Cancer","0.990","19","1820","2017"
"RDU","31 Day Wait for first treatment By Cancer","0.993","19","2609","2017"
"RN5","31 Day Wait for first treatment By Cancer","0.991","19","2140","2017"
"RP6","31 Day Wait for first treatment By Cancer","0.926","19","256","2017"
"RVR","31 Day Wait for first treatment By Cancer","0.980","19","972","2017"
"RFR","31 Day Wait for first treatment By Cancer","0.982","18","1011","2017"
"RTK","31 Day Wait for first treatment By Cancer","0.983","18","1052","2017"
"RBZ","31 Day Wait for first treatment By Cancer","0.978","18","827","2017"
"RTX","31 Day Wait for first treatment By Cancer","0.991","18","1897","2017"
"RXW","31 Day Wait for first treatment By Cancer","0.994","18","3068","2017"
"RC1","31 Day Wait for first treatment By Cancer","0.984","18","1116","2017"
"RVW","31 Day Wait for first treatment By Cancer","0.988","17","1441","2017"
"R0A","31 Day Wait for first treatment By Cancer","0.983","17","981","2017"
"RQW","31 Day Wait for first treatment By Cancer","0.985","17","1163","2017"
"RJ6","31 Day Wait for first treatment By Cancer","0.978","17","775","2017"
"RWW","31 Day Wait for first treatment By Cancer","0.978","16","725","2017"
"RTF","31 Day Wait for first treatment By Cancer","0.989","16","1420","2017"
"RCX","31 Day Wait for first treatment By Cancer","0.988","15","1237","2017"
"RM2","31 Day Wait for first treatment By Cancer","0.993","14","2028","2017"
"RA4","31 Day Wait for first treatment By Cancer","0.983","14","801","2017"
"RJC","31 Day Wait for first treatment By Cancer","0.986","14","974","2017"
"RP5","31 Day Wait for first treatment By Cancer","0.992","13","1709","2017"
"RJL","31 Day Wait for first treatment By Cancer","0.993","12","1655","2017"
"RBD","31 Day Wait for first treatment By Cancer","0.989","12","1115","2017"
"RJR","31 Day Wait for first treatment By Cancer","0.990","12","1173","2017"
"RWJ","31 Day Wait for first treatment By Cancer","0.988","11","918","2017"
"RNQ","31 Day Wait for first treatment By Cancer","0.992","10","1292","2017"
"RAP","31 Day Wait for first treatment By Cancer","0.989","10","937","2017"
"RM3","31 Day Wait for first treatment By Cancer","0.993","10","1434","2017"
"RLT","31 Day Wait for first treatment By Cancer","0.982","10","563","2017"
"RXP","31 Day Wait for first treatment By Cancer","0.995","10","2038","2017"
"RYR","31 Day Wait for first treatment By Cancer","0.997","9","3291","2017"
"RD3","31 Day Wait for first treatment By Cancer","0.995","9","1774","2017"
"RJF","31 Day Wait for first treatment By Cancer","0.991","9","966","2017"
"RAS","31 Day Wait for first treatment By Cancer","0.989","9","832","2017"
"RFF","31 Day Wait for first treatment By Cancer","0.989","9","833","2017"
"RBT","31 Day Wait for first treatment By Cancer","0.992","8","1007","2017"
"RQM","31 Day Wait for first treatment By Cancer","0.991","8","915","2017"
"RCD","31 Day Wait for first treatment By Cancer","0.993","7","1027","2017"
"RJN","31 Day Wait for first treatment By Cancer","0.988","7","593","2017"
"RVY","31 Day Wait for first treatment By Cancer","0.990","7","678","2017"
"RAX","31 Day Wait for first treatment By Cancer","0.994","6","1015","2017"
"RBK","31 Day Wait for first treatment By Cancer","0.995","5","977","2017"
"RRJ","31 Day Wait for first treatment By Cancer","0.958","5","119","2017"
"REP","31 Day Wait for first treatment By Cancer","0.986","5","349","2017"
"RMC","31 Day Wait for first treatment By Cancer","0.996","5","1123","2017"
"RRF","31 Day Wait for first treatment By Cancer","0.996","5","1268","2017"
"R1F","31 Day Wait for first treatment By Cancer","0.995","4","827","2017"
"RN7","31 Day Wait for first treatment By Cancer","0.996","4","976","2017"
"RAN","31 Day Wait for first treatment By Cancer","0.973","4","146","2017"
"RMP","31 Day Wait for first treatment By Cancer","0.995","3","627","2017"
"RQQ","31 Day Wait for first treatment By Cancer","0.979","3","143","2017"
"AQK","31 Day Wait for first treatment By Cancer","0.986","3","218","2017"
"RA3","31 Day Wait for first treatment By Cancer","0.994","3","497","2017"
"NYT","31 Day Wait for first treatment By Cancer","0.921","3","38","2017"
"NYG","31 Day Wait for first treatment By Cancer","0.991","2","227","2017"
"RGR","31 Day Wait for first treatment By Cancer","0.999","2","1364","2017"
"RGP","31 Day Wait for first treatment By Cancer","0.998","2","1140","2017"
"NVM","31 Day Wait for first treatment By Cancer","0.984","2","129","2017"
"RD8","31 Day Wait for first treatment By Cancer","0.998","2","1071","2017"
"NHT","31 Day Wait for first treatment By Cancer","0.750","2","8","2017"
"RWY","31 Day Wait for first treatment By Cancer","0.999","2","1708","2017"
"RY2","31 Day Wait for first treatment By Cancer","0.985","2","130","2017"
"RBQ","31 Day Wait for first treatment By Cancer","0.996","2","476","2017"
"RLU","31 Day Wait for first treatment By Cancer","0.857","1","7","2017"
"RKE","31 Day Wait for first treatment By Cancer","0.998","1","415","2017"
"RGM","31 Day Wait for first treatment By Cancer","0.996","1","234","2017"
"RQ3","31 Day Wait for first treatment By Cancer","0.994","1","171","2017"
"RQX","31 Day Wait for first treatment By Cancer","0.998","1","416","2017"
"RBS","31 Day Wait for first treatment By Cancer","1.000","0","54","2017"
"RP4","31 Day Wait for first treatment By Cancer","1.000","0","206","2017"
"RY7","31 Day Wait for first treatment By Cancer","1.000","0","1","2017"
"RGD","31 Day Wait for first treatment By Cancer","1.000","0","1","2017"
"RCU","31 Day Wait for first treatment By Cancer","1.000","0","52","2017"
"RR7","31 Day Wait for first treatment By Cancer","1.000","0","1485","2017"
"NQT","31 Day Wait for first treatment By Cancer","1.000","0","96","2017"
"RET","31 Day Wait for first treatment By Cancer","1.000","0","144","2017"
"RCF","31 Day Wait for first treatment By Cancer","1.000","0","767","2017"
"RL1","31 Day Wait for first treatment By Cancer","1.000","0","38","2017"
"RDR","31 Day Wait for first treatment By Cancer","1.000","0","1","2017"
"RC9","31 Day Wait for first treatment By Cancer","1.000","0","1202","2017"
"RY6","31 Day Wait for first treatment By Cancer","1.000","0","2","2017"
"RE9","31 Day Wait for first treatment By Cancer","1.000","0","325","2017"
"RHQ","31 Day Wait for first treatment By Cancer","0.935","724","11104","2018"
"RR8","31 Day Wait for first treatment By Cancer","0.955","506","11268","2018"
"RHM","31 Day Wait for first treatment By Cancer","0.935","492","7540","2018"
"RWE","31 Day Wait for first treatment By Cancer","0.955","415","9229","2018"
"RTD","31 Day Wait for first treatment By Cancer","0.959","409","10086","2018"
"RL4","31 Day Wait for first treatment By Cancer","0.916","409","4874","2018"
"RTH","31 Day Wait for first treatment By Cancer","0.941","399","6750","2018"
"RJ1","31 Day Wait for first treatment By Cancer","0.950","386","7647","2018"
"RQ8","31 Day Wait for first treatment By Cancer","0.914","374","4347","2018"
"RWA","31 Day Wait for first treatment By Cancer","0.953","356","7525","2018"
"RX1","31 Day Wait for first treatment By Cancer","0.959","346","8370","2018"
"RWH","31 Day Wait for first treatment By Cancer","0.936","314","4920","2018"
"RK9","31 Day Wait for first treatment By Cancer","0.956","312","7129","2018"
"RRK","31 Day Wait for first treatment By Cancer","0.970","299","10097","2018"
"RTE","31 Day Wait for first treatment By Cancer","0.956","291","6685","2018"
"RRV","31 Day Wait for first treatment By Cancer","0.954","276","5948","2018"
"RAJ","31 Day Wait for first treatment By Cancer","0.934","275","4142","2018"
"RXN","31 Day Wait for first treatment By Cancer","0.955","267","5877","2018"
"RM1","31 Day Wait for first treatment By Cancer","0.967","261","7902","2018"
"RBV","31 Day Wait for first treatment By Cancer","0.965","241","6837","2018"
"RVV","31 Day Wait for first treatment By Cancer","0.963","241","6561","2018"
"RAE","31 Day Wait for first treatment By Cancer","0.914","239","2783","2018"
"RQ6","31 Day Wait for first treatment By Cancer","0.922","231","2945","2018"
"RH8","31 Day Wait for first treatment By Cancer","0.964","229","6374","2018"
"RVJ","31 Day Wait for first treatment By Cancer","0.961","215","5530","2018"
"RTR","31 Day Wait for first treatment By Cancer","0.964","207","5820","2018"
"RXC","31 Day Wait for first treatment By Cancer","0.942","199","3429","2018"
"RTG","31 Day Wait for first treatment By Cancer","0.975","188","7409","2018"
"RDE","31 Day Wait for first treatment By Cancer","0.969","177","5739","2018"
"RWF","31 Day Wait for first treatment By Cancer","0.961","167","4260","2018"
"RA7","31 Day Wait for first treatment By Cancer","0.968","167","5292","2018"
"RJE","31 Day Wait for first treatment By Cancer","0.976","164","6842","2018"
"RGT","31 Day Wait for first treatment By Cancer","0.976","146","6160","2018"
"RTP","31 Day Wait for first treatment By Cancer","0.954","145","3136","2018"
"RA2","31 Day Wait for first treatment By Cancer","0.969","145","4673","2018"
"REF","31 Day Wait for first treatment By Cancer","0.975","144","5751","2018"
"RJZ","31 Day Wait for first treatment By Cancer","0.969","143","4683","2018"
"RYJ","31 Day Wait for first treatment By Cancer","0.973","142","5212","2018"
"RWD","31 Day Wait for first treatment By Cancer","0.977","140","6083","2018"
"RLQ","31 Day Wait for first treatment By Cancer","0.928","134","1858","2018"
"RNS","31 Day Wait for first treatment By Cancer","0.964","131","3602","2018"
"RPY","31 Day Wait for first treatment By Cancer","0.972","130","4564","2018"
"RWP","31 Day Wait for first treatment By Cancer","0.976","124","5266","2018"
"RDD","31 Day Wait for first treatment By Cancer","0.958","124","2970","2018"
"R0A","31 Day Wait for first treatment By Cancer","0.983","122","7240","2018"
"RKB","31 Day Wait for first treatment By Cancer","0.975","120","4736","2018"
"RHW","31 Day Wait for first treatment By Cancer","0.976","115","4713","2018"
"RDZ","31 Day Wait for first treatment By Cancer","0.976","113","4662","2018"
"RPC","31 Day Wait for first treatment By Cancer","0.917","111","1337","2018"
"RBL","31 Day Wait for first treatment By Cancer","0.968","107","3327","2018"
"RNL","31 Day Wait for first treatment By Cancer","0.961","105","2715","2018"
"REP","31 Day Wait for first treatment By Cancer","0.822","103","579","2018"
"RWG","31 Day Wait for first treatment By Cancer","0.968","102","3161","2018"
"RAL","31 Day Wait for first treatment By Cancer","0.979","102","4941","2018"
"RA9","31 Day Wait for first treatment By Cancer","0.973","101","3743","2018"
"RXF","31 Day Wait for first treatment By Cancer","0.977","99","4337","2018"
"RBA","31 Day Wait for first treatment By Cancer","0.973","97","3607","2018"
"RW6","31 Day Wait for first treatment By Cancer","0.973","96","3574","2018"
"RBN","31 Day Wait for first treatment By Cancer","0.978","95","4374","2018"
"RHU","31 Day Wait for first treatment By Cancer","0.986","93","6430","2018"
"RXQ","31 Day Wait for first treatment By Cancer","0.972","92","3303","2018"
"RXR","31 Day Wait for first treatment By Cancer","0.980","92","4556","2018"
"RGN","31 Day Wait for first treatment By Cancer","0.978","87","3965","2018"
"RCB","31 Day Wait for first treatment By Cancer","0.985","80","5227","2018"
"RNZ","31 Day Wait for first treatment By Cancer","0.966","79","2291","2018"
"RXH","31 Day Wait for first treatment By Cancer","0.985","76","4933","2018"
"REM","31 Day Wait for first treatment By Cancer","0.974","72","2759","2018"
"RJ7","31 Day Wait for first treatment By Cancer","0.982","72","4088","2018"
"REN","31 Day Wait for first treatment By Cancer","0.984","72","4432","2018"
"RPA","31 Day Wait for first treatment By Cancer","0.978","71","3288","2018"
"R1K","31 Day Wait for first treatment By Cancer","0.977","66","2873","2018"
"RC1","31 Day Wait for first treatment By Cancer","0.971","66","2266","2018"
"RWJ","31 Day Wait for first treatment By Cancer","0.967","62","1872","2018"
"RF4","31 Day Wait for first treatment By Cancer","0.986","61","4212","2018"
"RXK","31 Day Wait for first treatment By Cancer","0.980","59","2939","2018"
"RD3","31 Day Wait for first treatment By Cancer","0.982","57","3162","2018"
"RYR","31 Day Wait for first treatment By Cancer","0.990","56","5676","2018"
"RN5","31 Day Wait for first treatment By Cancer","0.986","56","4071","2018"
"R1H","31 Day Wait for first treatment By Cancer","0.991","55","5790","2018"
"RNA","31 Day Wait for first treatment By Cancer","0.985","54","3608","2018"
"RCX","31 Day Wait for first treatment By Cancer","0.978","51","2321","2018"
"RTX","31 Day Wait for first treatment By Cancer","0.985","51","3474","2018"
"RGQ","31 Day Wait for first treatment By Cancer","0.971","50","1713","2018"
"RJC","31 Day Wait for first treatment By Cancer","0.976","48","1991","2018"
"RTK","31 Day Wait for first treatment By Cancer","0.978","48","2188","2018"
"RFR","31 Day Wait for first treatment By Cancer","0.976","47","1979","2018"
"RN3","31 Day Wait for first treatment By Cancer","0.983","47","2789","2018"
"RXW","31 Day Wait for first treatment By Cancer","0.992","45","5545","2018"
"RD1","31 Day Wait for first treatment By Cancer","0.988","44","3674","2018"
"RBZ","31 Day Wait for first treatment By Cancer","0.978","43","1916","2018"
"RQM","31 Day Wait for first treatment By Cancer","0.976","43","1779","2018"
"RFS","31 Day Wait for first treatment By Cancer","0.984","42","2571","2018"
"RLN","31 Day Wait for first treatment By Cancer","0.988","41","3324","2018"
"RQW","31 Day Wait for first treatment By Cancer","0.980","41","2029","2018"
"RA3","31 Day Wait for first treatment By Cancer","0.964","38","1053","2018"
"RJ2","31 Day Wait for first treatment By Cancer","0.981","38","2024","2018"
"RM3","31 Day Wait for first treatment By Cancer","0.986","37","2667","2018"
"RA4","31 Day Wait for first treatment By Cancer","0.981","36","1894","2018"
"RJL","31 Day Wait for first treatment By Cancer","0.989","35","3078","2018"
"RK5","31 Day Wait for first treatment By Cancer","0.987","34","2565","2018"
"RXL","31 Day Wait for first treatment By Cancer","0.990","34","3539","2018"
"RXP","31 Day Wait for first treatment By Cancer","0.991","33","3684","2018"
"RNQ","31 Day Wait for first treatment By Cancer","0.988","32","2580","2018"
"NV3","31 Day Wait for first treatment By Cancer","0.978","26","1206","2018"
"RRF","31 Day Wait for first treatment By Cancer","0.989","25","2224","2018"
"RBD","31 Day Wait for first treatment By Cancer","0.988","24","2025","2018"
"RWW","31 Day Wait for first treatment By Cancer","0.985","22","1460","2018"
"NHT","31 Day Wait for first treatment By Cancer","0.936","21","326","2018"
"RVW","31 Day Wait for first treatment By Cancer","0.992","20","2623","2018"
"RD8","31 Day Wait for first treatment By Cancer","0.991","19","2213","2018"
"RVY","31 Day Wait for first treatment By Cancer","0.984","19","1196","2018"
"RJF","31 Day Wait for first treatment By Cancer","0.973","19","709","2018"
"RJ6","31 Day Wait for first treatment By Cancer","0.988","18","1493","2018"
"RBT","31 Day Wait for first treatment By Cancer","0.991","18","2008","2018"
"R1F","31 Day Wait for first treatment By Cancer","0.988","18","1498","2018"
"RP5","31 Day Wait for first treatment By Cancer","0.995","16","3044","2018"
"RAP","31 Day Wait for first treatment By Cancer","0.990","15","1496","2018"
"RDU","31 Day Wait for first treatment By Cancer","0.997","15","5670","2018"
"RT3","31 Day Wait for first treatment By Cancer","0.977","15","639","2018"
"RTF","31 Day Wait for first treatment By Cancer","0.995","13","2765","2018"
"NYT","31 Day Wait for first treatment By Cancer","0.939","12","198","2018"
"RMP","31 Day Wait for first treatment By Cancer","0.990","12","1217","2018"
"RAS","31 Day Wait for first treatment By Cancer","0.992","12","1573","2018"
"RVR","31 Day Wait for first treatment By Cancer","0.994","11","1879","2018"
"RFF","31 Day Wait for first treatment By Cancer","0.994","11","1772","2018"
"RJR","31 Day Wait for first treatment By Cancer","0.995","11","2066","2018"
"RAX","31 Day Wait for first treatment By Cancer","0.995","10","1938","2018"
"RR7","31 Day Wait for first treatment By Cancer","0.996","10","2737","2018"
"RCD","31 Day Wait for first treatment By Cancer","0.994","10","1790","2018"
"RR1","31 Day Wait for first treatment By Cancer","0.987","10","764","2018"
"RP6","31 Day Wait for first treatment By Cancer","0.979","10","467","2018"
"NYG","31 Day Wait for first treatment By Cancer","0.986","10","704","2018"
"RY2","31 Day Wait for first treatment By Cancer","0.965","9","257","2018"
"RWY","31 Day Wait for first treatment By Cancer","0.997","9","3299","2018"
"RLT","31 Day Wait for first treatment By Cancer","0.991","9","981","2018"
"RMC","31 Day Wait for first treatment By Cancer","0.997","8","2339","2018"
"RGR","31 Day Wait for first treatment By Cancer","0.998","6","2619","2018"
"RQX","31 Day Wait for first treatment By Cancer","0.992","6","745","2018"
"RBK","31 Day Wait for first treatment By Cancer","0.997","5","1686","2018"
"RGM","31 Day Wait for first treatment By Cancer","0.990","5","491","2018"
"RGP","31 Day Wait for first treatment By Cancer","0.998","5","2301","2018"
"RJN","31 Day Wait for first treatment By Cancer","0.995","5","1093","2018"
"NVM","31 Day Wait for first treatment By Cancer","0.985","3","200","2018"
"NQT","31 Day Wait for first treatment By Cancer","0.978","3","138","2018"
"RRJ","31 Day Wait for first treatment By Cancer","0.985","3","204","2018"
"RAN","31 Day Wait for first treatment By Cancer","0.989","3","274","2018"
"RQ3","31 Day Wait for first treatment By Cancer","0.997","1","356","2018"
"RP4","31 Day Wait for first treatment By Cancer","0.996","1","275","2018"
"RBQ","31 Day Wait for first treatment By Cancer","0.999","1","895","2018"
"RKE","31 Day Wait for first treatment By Cancer","1.000","0","676","2018"
"NQ7","31 Day Wait for first treatment By Cancer","1.000","0","4","2018"
"RRE","31 Day Wait for first treatment By Cancer","1.000","0","1","2018"
"RYF","31 Day Wait for first treatment By Cancer","1.000","0","1","2018"
"AQK","31 Day Wait for first treatment By Cancer","1.000","0","305","2018"
"RE9","31 Day Wait for first treatment By Cancer","1.000","0","559","2018"
"RCF","31 Day Wait for first treatment By Cancer","1.000","0","1533","2018"
"RCU","31 Day Wait for first treatment By Cancer","1.000","0","39","2018"
"RHA","31 Day Wait for first treatment By Cancer","1.000","0","1","2018"
"RTQ","31 Day Wait for first treatment By Cancer","1.000","0","1","2018"
"RN7","31 Day Wait for first treatment By Cancer","1.000","0","1512","2018"
"R1D","31 Day Wait for first treatment By Cancer","1.000","0","2","2018"
"RC9","31 Day Wait for first treatment By Cancer","1.000","0","2256","2018"
"RY6","31 Day Wait for first treatment By Cancer","1.000","0","2","2018"
"RV3","31 Day Wait for first treatment By Cancer","1.000","0","1","2018"
"NT2","31 Day Wait for first treatment By Cancer","1.000","0","1","2018"
"RBS","31 Day Wait for first treatment By Cancer","1.000","0","115","2018"
"RTV","31 Day Wait for first treatment By Cancer","1.000","0","2","2018"
"RET","31 Day Wait for first treatment By Cancer","1.000","0","273","2018"
"RL1","31 Day Wait for first treatment By Cancer","1.000","0","42","2018"
"RRP","31 Day Wait for first treatment By Cancer","1.000","0","1","2018"
"RHM","31 Day Wait for first treatment By Cancer","0.896","479","4606","2019"
"RHQ","31 Day Wait for first treatment By Cancer","0.933","448","6699","2019"
"RWE","31 Day Wait for first treatment By Cancer","0.933","405","6045","2019"
"RRK","31 Day Wait for first treatment By Cancer","0.943","397","6952","2019"
"RX1","31 Day Wait for first treatment By Cancer","0.927","385","5282","2019"
"RWA","31 Day Wait for first treatment By Cancer","0.916","384","4570","2019"
"RL4","31 Day Wait for first treatment By Cancer","0.879","368","3047","2019"
"RTD","31 Day Wait for first treatment By Cancer","0.940","357","5981","2019"
"RQ8","31 Day Wait for first treatment By Cancer","0.871","335","2597","2019"
"RR8","31 Day Wait for first treatment By Cancer","0.950","332","6675","2019"
"RH8","31 Day Wait for first treatment By Cancer","0.916","322","3817","2019"
"RTH","31 Day Wait for first treatment By Cancer","0.926","312","4213","2019"
"RTE","31 Day Wait for first treatment By Cancer","0.925","302","4007","2019"
"RDE","31 Day Wait for first treatment By Cancer","0.934","301","4578","2019"
"RK9","31 Day Wait for first treatment By Cancer","0.931","300","4373","2019"
"RVJ","31 Day Wait for first treatment By Cancer","0.913","283","3271","2019"
"RAJ","31 Day Wait for first treatment By Cancer","0.908","223","2412","2019"
"RXN","31 Day Wait for first treatment By Cancer","0.942","223","3817","2019"
"RJE","31 Day Wait for first treatment By Cancer","0.952","209","4341","2019"
"RTR","31 Day Wait for first treatment By Cancer","0.947","193","3663","2019"
"R0A","31 Day Wait for first treatment By Cancer","0.957","184","4271","2019"
"RTG","31 Day Wait for first treatment By Cancer","0.963","182","4961","2019"
"RM1","31 Day Wait for first treatment By Cancer","0.963","176","4788","2019"
"RXH","31 Day Wait for first treatment By Cancer","0.952","150","3153","2019"
"RWD","31 Day Wait for first treatment By Cancer","0.964","148","4063","2019"
"RBV","31 Day Wait for first treatment By Cancer","0.965","145","4147","2019"
"RWH","31 Day Wait for first treatment By Cancer","0.953","138","2916","2019"
"RVV","31 Day Wait for first treatment By Cancer","0.968","133","4160","2019"
"RGT","31 Day Wait for first treatment By Cancer","0.966","130","3813","2019"
"RA7","31 Day Wait for first treatment By Cancer","0.963","120","3272","2019"
"RNS","31 Day Wait for first treatment By Cancer","0.948","115","2193","2019"
"RAE","31 Day Wait for first treatment By Cancer","0.943","113","1972","2019"
"RPA","31 Day Wait for first treatment By Cancer","0.934","112","1707","2019"
"RJ1","31 Day Wait for first treatment By Cancer","0.976","112","4755","2019"
"RLQ","31 Day Wait for first treatment By Cancer","0.906","111","1176","2019"
"RRV","31 Day Wait for first treatment By Cancer","0.967","108","3257","2019"
"RQ6","31 Day Wait for first treatment By Cancer","0.941","108","1819","2019"
"RWF","31 Day Wait for first treatment By Cancer","0.964","105","2922","2019"
"RHU","31 Day Wait for first treatment By Cancer","0.975","100","3978","2019"
"RGN","31 Day Wait for first treatment By Cancer","0.959","97","2357","2019"
"RTP","31 Day Wait for first treatment By Cancer","0.957","85","1962","2019"
"RKB","31 Day Wait for first treatment By Cancer","0.971","85","2899","2019"
"RJZ","31 Day Wait for first treatment By Cancer","0.967","82","2522","2019"
"RWP","31 Day Wait for first treatment By Cancer","0.976","81","3400","2019"
"RHW","31 Day Wait for first treatment By Cancer","0.972","79","2787","2019"
"REP","31 Day Wait for first treatment By Cancer","0.782","79","363","2019"
"RA2","31 Day Wait for first treatment By Cancer","0.974","78","3006","2019"
"RPY","31 Day Wait for first treatment By Cancer","0.974","76","2914","2019"
"RXQ","31 Day Wait for first treatment By Cancer","0.965","73","2092","2019"
"RXW","31 Day Wait for first treatment By Cancer","0.979","72","3466","2019"
"RXR","31 Day Wait for first treatment By Cancer","0.974","72","2792","2019"
"RYR","31 Day Wait for first treatment By Cancer","0.980","72","3552","2019"
"RAL","31 Day Wait for first treatment By Cancer","0.976","69","2869","2019"
"RCB","31 Day Wait for first treatment By Cancer","0.978","69","3186","2019"
"RNL","31 Day Wait for first treatment By Cancer","0.955","69","1547","2019"
"RYJ","31 Day Wait for first treatment By Cancer","0.977","69","2998","2019"
"RJ7","31 Day Wait for first treatment By Cancer","0.974","68","2658","2019"
"RN5","31 Day Wait for first treatment By Cancer","0.972","68","2452","2019"
"RXF","31 Day Wait for first treatment By Cancer","0.977","63","2686","2019"
"RDD","31 Day Wait for first treatment By Cancer","0.963","63","1685","2019"
"RBN","31 Day Wait for first treatment By Cancer","0.976","62","2583","2019"
"RA9","31 Day Wait for first treatment By Cancer","0.972","62","2245","2019"
"REF","31 Day Wait for first treatment By Cancer","0.982","62","3396","2019"
"RXC","31 Day Wait for first treatment By Cancer","0.974","61","2386","2019"
"RD1","31 Day Wait for first treatment By Cancer","0.974","61","2344","2019"
"RK5","31 Day Wait for first treatment By Cancer","0.964","61","1710","2019"
"RBL","31 Day Wait for first treatment By Cancer","0.968","61","1918","2019"
"RD3","31 Day Wait for first treatment By Cancer","0.970","58","1938","2019"
"RF4","31 Day Wait for first treatment By Cancer","0.976","56","2346","2019"
"RXK","31 Day Wait for first treatment By Cancer","0.969","55","1755","2019"
"RWG","31 Day Wait for first treatment By Cancer","0.973","55","2008","2019"
"RBA","31 Day Wait for first treatment By Cancer","0.977","53","2270","2019"
"REM","31 Day Wait for first treatment By Cancer","0.970","53","1754","2019"
"RA4","31 Day Wait for first treatment By Cancer","0.959","49","1193","2019"
"RPC","31 Day Wait for first treatment By Cancer","0.942","49","850","2019"
"RFS","31 Day Wait for first treatment By Cancer","0.972","48","1716","2019"
"RJ2","31 Day Wait for first treatment By Cancer","0.968","43","1354","2019"
"RCX","31 Day Wait for first treatment By Cancer","0.970","42","1394","2019"
"RTX","31 Day Wait for first treatment By Cancer","0.980","42","2066","2019"
"RBZ","31 Day Wait for first treatment By Cancer","0.965","41","1176","2019"
"RJR","31 Day Wait for first treatment By Cancer","0.967","41","1258","2019"
"RXL","31 Day Wait for first treatment By Cancer","0.982","41","2248","2019"
"RTK","31 Day Wait for first treatment By Cancer","0.969","40","1297","2019"
"RDZ","31 Day Wait for first treatment By Cancer","0.986","40","2766","2019"
"R1K","31 Day Wait for first treatment By Cancer","0.975","39","1538","2019"
"RNZ","31 Day Wait for first treatment By Cancer","0.973","38","1431","2019"
"RW6","31 Day Wait for first treatment By Cancer","0.984","35","2210","2019"
"R1H","31 Day Wait for first treatment By Cancer","0.990","34","3437","2019"
"RAP","31 Day Wait for first treatment By Cancer","0.968","33","1018","2019"
"RJL","31 Day Wait for first treatment By Cancer","0.979","33","1604","2019"
"RNA","31 Day Wait for first treatment By Cancer","0.985","33","2152","2019"
"RFR","31 Day Wait for first treatment By Cancer","0.973","32","1183","2019"
"RNQ","31 Day Wait for first treatment By Cancer","0.977","32","1421","2019"
"RJC","31 Day Wait for first treatment By Cancer","0.973","32","1200","2019"
"NYT","31 Day Wait for first treatment By Cancer","0.716","31","109","2019"
"RC1","31 Day Wait for first treatment By Cancer","0.979","30","1423","2019"
"RWJ","31 Day Wait for first treatment By Cancer","0.978","30","1357","2019"
"REN","31 Day Wait for first treatment By Cancer","0.990","28","2886","2019"
"RN3","31 Day Wait for first treatment By Cancer","0.986","28","1998","2019"
"RQW","31 Day Wait for first treatment By Cancer","0.981","24","1281","2019"
"RFF","31 Day Wait for first treatment By Cancer","0.979","24","1147","2019"
"RBT","31 Day Wait for first treatment By Cancer","0.979","24","1124","2019"
"RXP","31 Day Wait for first treatment By Cancer","0.990","22","2158","2019"
"RM3","31 Day Wait for first treatment By Cancer","0.987","21","1623","2019"
"RQM","31 Day Wait for first treatment By Cancer","0.983","21","1217","2019"
"RJ6","31 Day Wait for first treatment By Cancer","0.977","20","854","2019"
"RBD","31 Day Wait for first treatment By Cancer","0.986","19","1360","2019"
"RD8","31 Day Wait for first treatment By Cancer","0.986","19","1340","2019"
"RRF","31 Day Wait for first treatment By Cancer","0.986","19","1362","2019"
"RTF","31 Day Wait for first treatment By Cancer","0.990","19","1877","2019"
"RVW","31 Day Wait for first treatment By Cancer","0.989","18","1633","2019"
"RMC","31 Day Wait for first treatment By Cancer","0.987","17","1343","2019"
"RAS","31 Day Wait for first treatment By Cancer","0.982","17","951","2019"
