"ODS Code","Measure","Percentage","Over Target","Total","Year","Month"
"RCX","31 Day Wait for first treatment By Cancer","0.990","1.0","100.0","2016","11"
"RR1","31 Day Wait for first treatment By Cancer","0.996","1.0","271.0","2016","12"
"RTK","31 Day Wait for first treatment By Cancer","0.990","1.0","101.0","2016","9"
"RCX","31 Day Wait for first treatment By Cancer","0.990","1.0","96.0","2016","5"
"RCX","31 Day Wait for first treatment By Cancer","0.991","1.0","107.0","2016","3"
"RR7","31 Day Wait for first treatment By Cancer","0.991","1.0","111.0","2016","1"
"RR7","31 Day Wait for first treatment By Cancer","0.992","1.0","123.0","2016","4"
"RXH","31 Day Wait for first treatment By Cancer","0.996","1.0","246.0","2016","4"
"RN5","31 Day Wait for first treatment By Cancer","0.995","1.0","194.0","2016","4"
"RR7","31 Day Wait for first treatment By Cancer","0.992","1.0","130.0","2016","8"
"RJR","31 Day Wait for first treatment By Cancer","0.991","1.0","115.0","2016","11"
"RJR","31 Day Wait for first treatment By Cancer","0.990","1.0","97.0","2016","8"
"RMC","31 Day Wait for first treatment By Cancer","0.989","1.0","89.0","2016","5"
"RJR","31 Day Wait for first treatment By Cancer","0.989","1.0","90.0","2016","7"
"RLU","31 Day Wait for first treatment By Cancer","0.750","1.0","4.0","2016","11"
"RQQ","31 Day Wait for first treatment By Cancer","0.978","1.0","46.0","2016","5"
"RR1","31 Day Wait for first treatment By Cancer","0.997","1.0","292.0","2016","2"
"RN5","31 Day Wait for first treatment By Cancer","0.995","1.0","183.0","2016","3"
"RJ6","31 Day Wait for first treatment By Cancer","0.987","1.0","78.0","2016","9"
"RCF","31 Day Wait for first treatment By Cancer","0.986","1.0","69.0","2016","9"
"RAE","31 Day Wait for first treatment By Cancer","0.992","1.0","129.0","2016","4"
"RXK","31 Day Wait for first treatment By Cancer","0.992","1.0","124.0","2016","4"
"RJR","31 Day Wait for first treatment By Cancer","0.989","1.0","93.0","2016","4"
"R1K","31 Day Wait for first treatment By Cancer","0.992","1.0","119.0","2016","3"
"RXK","31 Day Wait for first treatment By Cancer","0.993","1.0","151.0","2016","7"
"RM2","31 Day Wait for first treatment By Cancer","0.995","1.0","199.0","2016","5"
"RQQ","31 Day Wait for first treatment By Cancer","0.983","1.0","59.0","2016","9"
"RCD","31 Day Wait for first treatment By Cancer","0.989","1.0","93.0","2016","12"
"R1H","31 Day Wait for first treatment By Cancer","0.996","1.0","257.0","2016","7"
"RRF","31 Day Wait for first treatment By Cancer","0.990","1.0","100.0","2016","10"
"RAE","31 Day Wait for first treatment By Cancer","0.993","1.0","139.0","2016","8"
"RCD","31 Day Wait for first treatment By Cancer","0.987","1.0","77.0","2016","5"
"RCD","31 Day Wait for first treatment By Cancer","0.986","1.0","73.0","2016","3"
"R1K","31 Day Wait for first treatment By Cancer","0.991","1.0","107.0","2016","2"
"R1K","31 Day Wait for first treatment By Cancer","0.992","1.0","125.0","2016","1"
"RJC","31 Day Wait for first treatment By Cancer","0.987","1.0","77.0","2016","9"
"RXL","31 Day Wait for first treatment By Cancer","0.993","1.0","151.0","2016","1"
"RXL","31 Day Wait for first treatment By Cancer","0.994","1.0","154.0","2016","4"
"RXL","31 Day Wait for first treatment By Cancer","0.994","1.0","157.0","2016","5"
"RPC","31 Day Wait for first treatment By Cancer","0.982","1.0","56.0","2016","7"
"RTK","31 Day Wait for first treatment By Cancer","0.988","1.0","83.0","2016","2"
"RXL","31 Day Wait for first treatment By Cancer","0.994","1.0","160.0","2016","8"
"RXL","31 Day Wait for first treatment By Cancer","0.994","1.0","176.0","2016","9"
"RTK","31 Day Wait for first treatment By Cancer","0.988","1.0","80.0","2016","1"
"RQX","31 Day Wait for first treatment By Cancer","0.968","1.0","31.0","2016","6"
"RJL","31 Day Wait for first treatment By Cancer","0.992","1.0","124.0","2016","12"
"RAS","31 Day Wait for first treatment By Cancer","0.985","1.0","66.0","2016","1"
"RQX","31 Day Wait for first treatment By Cancer","0.967","1.0","30.0","2016","2"
"RAE","31 Day Wait for first treatment By Cancer","0.992","1.0","123.0","2016","12"
"RAS","31 Day Wait for first treatment By Cancer","0.986","1.0","70.0","2016","4"
"RRF","31 Day Wait for first treatment By Cancer","0.989","1.0","93.0","2016","11"
"RFF","31 Day Wait for first treatment By Cancer","0.988","1.0","81.0","2016","3"
"RXW","31 Day Wait for first treatment By Cancer","0.996","1.0","229.0","2016","1"
"RJL","31 Day Wait for first treatment By Cancer","0.993","1.0","147.0","2016","11"
"RFF","31 Day Wait for first treatment By Cancer","0.987","1.0","76.0","2016","4"
"RFF","31 Day Wait for first treatment By Cancer","0.986","1.0","73.0","2016","6"
"RAS","31 Day Wait for first treatment By Cancer","0.984","1.0","63.0","2016","7"
"RBQ","31 Day Wait for first treatment By Cancer","0.973","1.0","37.0","2016","9"
"RBQ","31 Day Wait for first treatment By Cancer","0.979","1.0","47.0","2016","1"
"RAS","31 Day Wait for first treatment By Cancer","0.986","1.0","70.0","2016","8"
"RAS","31 Day Wait for first treatment By Cancer","0.983","1.0","59.0","2016","9"
"RP5","31 Day Wait for first treatment By Cancer","0.994","1.0","159.0","2016","5"
"RFF","31 Day Wait for first treatment By Cancer","0.987","1.0","79.0","2016","11"
"RP5","31 Day Wait for first treatment By Cancer","0.993","1.0","143.0","2016","4"
"RAS","31 Day Wait for first treatment By Cancer","0.985","1.0","66.0","2016","10"
"RAS","31 Day Wait for first treatment By Cancer","0.985","1.0","68.0","2016","11"
"RW6","31 Day Wait for first treatment By Cancer","0.993","1.0","137.0","2016","1"
"RW6","31 Day Wait for first treatment By Cancer","0.991","1.0","108.0","2016","2"
"RW6","31 Day Wait for first treatment By Cancer","0.993","1.0","148.0","2016","4"
"RBK","31 Day Wait for first treatment By Cancer","0.986","1.0","73.0","2016","2"
"RP5","31 Day Wait for first treatment By Cancer","0.993","1.0","152.0","2016","9"
"RAS","31 Day Wait for first treatment By Cancer","0.987","1.0","78.0","2016","12"
"RVY","31 Day Wait for first treatment By Cancer","0.983","1.0","59.0","2016","11"
"RVY","31 Day Wait for first treatment By Cancer","0.977","1.0","44.0","2016","10"
"RFR","31 Day Wait for first treatment By Cancer","0.987","1.0","78.0","2016","5"
"RFR","31 Day Wait for first treatment By Cancer","0.987","1.0","75.0","2016","7"
"RRJ","31 Day Wait for first treatment By Cancer","0.923","1.0","13.0","2016","7"
"RJL","31 Day Wait for first treatment By Cancer","0.993","1.0","148.0","2016","9"
"RVY","31 Day Wait for first treatment By Cancer","0.986","1.0","74.0","2016","6"
"RP4","31 Day Wait for first treatment By Cancer","0.941","1.0","17.0","2016","9"
"RP4","31 Day Wait for first treatment By Cancer","0.933","1.0","15.0","2016","6"
"RBK","31 Day Wait for first treatment By Cancer","0.989","1.0","95.0","2016","10"
"RVY","31 Day Wait for first treatment By Cancer","0.986","1.0","74.0","2016","1"
"RVW","31 Day Wait for first treatment By Cancer","0.992","1.0","119.0","2016","6"
"RQW","31 Day Wait for first treatment By Cancer","0.990","1.0","96.0","2016","12"
"RBK","31 Day Wait for first treatment By Cancer","0.988","1.0","80.0","2016","11"
"R1F","31 Day Wait for first treatment By Cancer","0.988","1.0","83.0","2016","11"
"RTE","31 Day Wait for first treatment By Cancer","0.997","1.0","291.0","2016","8"
"RCB","31 Day Wait for first treatment By Cancer","0.996","1.0","252.0","2016","8"
"RVW","31 Day Wait for first treatment By Cancer","0.992","1.0","121.0","2016","5"
"RVW","31 Day Wait for first treatment By Cancer","0.989","1.0","91.0","2016","4"
"RNZ","31 Day Wait for first treatment By Cancer","0.991","1.0","109.0","2016","6"
"RFS","31 Day Wait for first treatment By Cancer","0.991","1.0","109.0","2016","3"
"RQW","31 Day Wait for first treatment By Cancer","0.989","1.0","91.0","2016","10"
"RFS","31 Day Wait for first treatment By Cancer","0.991","1.0","108.0","2016","5"
"RNZ","31 Day Wait for first treatment By Cancer","0.992","1.0","131.0","2016","3"
"RNZ","31 Day Wait for first treatment By Cancer","0.990","1.0","102.0","2016","2"
"RM2","31 Day Wait for first treatment By Cancer","0.995","1.0","201.0","2016","12"
"RJ2","31 Day Wait for first treatment By Cancer","0.988","1.0","82.0","2016","2"
"RM2","31 Day Wait for first treatment By Cancer","0.995","1.0","192.0","2016","4"
"RA3","31 Day Wait for first treatment By Cancer","0.981","1.0","52.0","2016","3"
"RKB","31 Day Wait for first treatment By Cancer","0.995","1.0","206.0","2016","4"
"RKB","31 Day Wait for first treatment By Cancer","0.995","1.0","203.0","2016","6"
"RM3","31 Day Wait for first treatment By Cancer","0.992","1.0","123.0","2016","3"
"AQK","31 Day Wait for first treatment By Cancer","0.941","1.0","17.0","2016","12"
"AQK","31 Day Wait for first treatment By Cancer","0.962","1.0","26.0","2016","11"
"RYR","31 Day Wait for first treatment By Cancer","0.996","1.0","262.0","2016","5"
"REM","31 Day Wait for first treatment By Cancer","0.991","1.0","106.0","2016","12"
"RJL","31 Day Wait for first treatment By Cancer","0.993","1.0","148.0","2016","5"
"RFS","31 Day Wait for first treatment By Cancer","0.992","1.0","123.0","2016","9"
"REM","31 Day Wait for first treatment By Cancer","0.993","1.0","135.0","2016","9"
"REM","31 Day Wait for first treatment By Cancer","0.991","1.0","106.0","2016","5"
"RJ2","31 Day Wait for first treatment By Cancer","0.988","1.0","83.0","2016","5"
"REM","31 Day Wait for first treatment By Cancer","0.992","1.0","119.0","2016","3"
"RYR","31 Day Wait for first treatment By Cancer","0.995","1.0","205.0","2016","7"
"AQK","31 Day Wait for first treatment By Cancer","0.929","1.0","14.0","2016","8"
"RKB","31 Day Wait for first treatment By Cancer","0.994","1.0","166.0","2016","7"
"RAL","31 Day Wait for first treatment By Cancer","0.994","1.0","171.0","2016","12"
"RKB","31 Day Wait for first treatment By Cancer","0.995","1.0","202.0","2016","12"
"RNZ","31 Day Wait for first treatment By Cancer","0.991","1.0","110.0","2016","1"
"RVW","31 Day Wait for first treatment By Cancer","0.990","1.0","101.0","2016","1"
"RA3","31 Day Wait for first treatment By Cancer","0.975","1.0","40.0","2016","5"
"RAN","31 Day Wait for first treatment By Cancer","0.875","1.0","8.0","2016","4"
"RA3","31 Day Wait for first treatment By Cancer","0.981","1.0","53.0","2016","9"
"RJL","31 Day Wait for first treatment By Cancer","0.993","1.0","151.0","2016","4"
"RAN","31 Day Wait for first treatment By Cancer","0.800","1.0","5.0","2016","7"
"RAN","31 Day Wait for first treatment By Cancer","0.917","1.0","12.0","2016","8"
"RAN","31 Day Wait for first treatment By Cancer","0.952","1.0","21.0","2016","9"
"RP5","31 Day Wait for first treatment By Cancer","0.991","1.0","111.0","2016","10"
"RP5","31 Day Wait for first treatment By Cancer","0.992","1.0","120.0","2016","11"
"RP6","31 Day Wait for first treatment By Cancer","0.917","1.0","12.0","2016","2"
"RP6","31 Day Wait for first treatment By Cancer","0.963","1.0","27.0","2016","4"
"RXP","31 Day Wait for first treatment By Cancer","0.994","1.0","174.0","2016","3"
"RBD","31 Day Wait for first treatment By Cancer","0.989","1.0","92.0","2016","8"
"RKE","31 Day Wait for first treatment By Cancer","0.977","1.0","44.0","2016","3"
"RL1","31 Day Wait for first treatment By Cancer","0.500","1.0","2.0","2016","7"
"RXP","31 Day Wait for first treatment By Cancer","0.993","1.0","142.0","2016","4"
"RAX","31 Day Wait for first treatment By Cancer","0.989","1.0","91.0","2016","12"
"RXP","31 Day Wait for first treatment By Cancer","0.993","1.0","150.0","2016","8"
"RAL","31 Day Wait for first treatment By Cancer","0.995","1.0","205.0","2016","2"
"RP6","31 Day Wait for first treatment By Cancer","0.941","1.0","17.0","2016","7"
"RP6","31 Day Wait for first treatment By Cancer","0.944","1.0","18.0","2016","9"
"RC9","31 Day Wait for first treatment By Cancer","0.991","1.0","107.0","2016","10"
"RVR","31 Day Wait for first treatment By Cancer","0.988","1.0","86.0","2016","8"
"RC9","31 Day Wait for first treatment By Cancer","0.990","1.0","105.0","2016","5"
"RNQ","31 Day Wait for first treatment By Cancer","0.992","1.0","124.0","2016","7"
"RVR","31 Day Wait for first treatment By Cancer","0.983","1.0","59.0","2016","6"
"RXP","31 Day Wait for first treatment By Cancer","0.994","1.0","167.0","2016","11"
"RNQ","31 Day Wait for first treatment By Cancer","0.989","1.0","94.0","2016","2"
"RVR","31 Day Wait for first treatment By Cancer","0.987","1.0","75.0","2016","5"
"RVR","31 Day Wait for first treatment By Cancer","0.986","1.0","70.0","2016","1"
"RP6","31 Day Wait for first treatment By Cancer","0.950","1.0","20.0","2016","11"
"RBS","31 Day Wait for first treatment By Cancer","0.667","1.0","3.0","2016","2"
"RPY","31 Day Wait for first treatment By Cancer","0.996","1.0","240.0","2016","5"
"RJ2","31 Day Wait for first treatment By Cancer","0.986","1.0","74.0","2016","12"
"RWG","31 Day Wait for first treatment By Cancer","0.991","1.0","117.0","2016","2"
"RLN","31 Day Wait for first treatment By Cancer","0.993","1.0","153.0","2016","7"
"RXQ","31 Day Wait for first treatment By Cancer","0.994","1.0","163.0","2016","3"
"RXQ","31 Day Wait for first treatment By Cancer","0.993","1.0","152.0","2016","4"
"RAX","31 Day Wait for first treatment By Cancer","0.988","1.0","86.0","2016","1"
"R1F","31 Day Wait for first treatment By Cancer","0.983","1.0","59.0","2016","3"
"RK5","31 Day Wait for first treatment By Cancer","0.990","1.0","104.0","2016","12"
"R1F","31 Day Wait for first treatment By Cancer","0.984","1.0","63.0","2016","2"
"RC1","31 Day Wait for first treatment By Cancer","0.989","1.0","87.0","2016","12"
"RC1","31 Day Wait for first treatment By Cancer","0.989","1.0","92.0","2016","11"
"RLN","31 Day Wait for first treatment By Cancer","0.994","1.0","174.0","2016","10"
"RAX","31 Day Wait for first treatment By Cancer","0.989","1.0","93.0","2016","3"
"RC1","31 Day Wait for first treatment By Cancer","0.989","1.0","94.0","2016","10"
"RLN","31 Day Wait for first treatment By Cancer","0.994","1.0","177.0","2016","11"
"RDZ","31 Day Wait for first treatment By Cancer","0.995","1.0","206.0","2016","8"
"RC1","31 Day Wait for first treatment By Cancer","0.991","1.0","109.0","2016","8"
"RDZ","31 Day Wait for first treatment By Cancer","0.995","1.0","194.0","2016","6"
"RQM","31 Day Wait for first treatment By Cancer","0.980","1.0","50.0","2016","1"
"RBD","31 Day Wait for first treatment By Cancer","0.990","1.0","103.0","2016","6"
"RTX","31 Day Wait for first treatment By Cancer","0.993","1.0","150.0","2016","9"
"RGM","31 Day Wait for first treatment By Cancer","0.929","1.0","14.0","2016","2"
"RGM","31 Day Wait for first treatment By Cancer","0.947","1.0","19.0","2016","3"
"RWJ","31 Day Wait for first treatment By Cancer","0.986","1.0","72.0","2016","1"
"RJF","31 Day Wait for first treatment By Cancer","0.985","1.0","65.0","2016","12"
"RHW","31 Day Wait for first treatment By Cancer","0.995","1.0","184.0","2016","12"
"RTX","31 Day Wait for first treatment By Cancer","0.993","1.0","140.0","2016","7"
"RJF","31 Day Wait for first treatment By Cancer","0.988","1.0","86.0","2016","9"
"RWJ","31 Day Wait for first treatment By Cancer","0.982","1.0","56.0","2016","8"
"RWJ","31 Day Wait for first treatment By Cancer","0.985","1.0","66.0","2016","10"
"RDU","31 Day Wait for first treatment By Cancer","0.995","1.0","209.0","2016","12"
"RDU","31 Day Wait for first treatment By Cancer","0.995","1.0","215.0","2016","10"
"RGN","31 Day Wait for first treatment By Cancer","0.992","1.0","125.0","2016","1"
"RGN","31 Day Wait for first treatment By Cancer","0.993","1.0","144.0","2016","11"
"RDU","31 Day Wait for first treatment By Cancer","0.996","1.0","259.0","2016","5"
"RDU","31 Day Wait for first treatment By Cancer","0.996","1.0","245.0","2016","4"
"RP4","31 Day Wait for first treatment By Cancer","1.000","0.0","14.0","2016","4"
"AQK","31 Day Wait for first treatment By Cancer","1.000","0.0","3.0","2016","1"
"AQK","31 Day Wait for first treatment By Cancer","1.000","0.0","6.0","2016","2"
"AQK","31 Day Wait for first treatment By Cancer","1.000","0.0","6.0","2016","3"
"AQK","31 Day Wait for first treatment By Cancer","1.000","0.0","8.0","2016","4"
"AQK","31 Day Wait for first treatment By Cancer","1.000","0.0","11.0","2016","5"
"AQK","31 Day Wait for first treatment By Cancer","1.000","0.0","15.0","2016","6"
"AQK","31 Day Wait for first treatment By Cancer","1.000","0.0","8.0","2016","7"
"AQK","31 Day Wait for first treatment By Cancer","1.000","0.0","14.0","2016","9"
"AQK","31 Day Wait for first treatment By Cancer","1.000","0.0","14.0","2016","10"
"NQT","31 Day Wait for first treatment By Cancer","1.000","0.0","3.0","2016","5"
"NQT","31 Day Wait for first treatment By Cancer","1.000","0.0","9.0","2016","10"
"NQT","31 Day Wait for first treatment By Cancer","1.000","0.0","1.0","2016","12"
"NV3","31 Day Wait for first treatment By Cancer","1.000","0.0","45.0","2016","6"
"NVM","31 Day Wait for first treatment By Cancer","1.000","0.0","5.0","2016","1"
"NVM","31 Day Wait for first treatment By Cancer","1.000","0.0","15.0","2016","2"
"NVM","31 Day Wait for first treatment By Cancer","1.000","0.0","11.0","2016","3"
"NVM","31 Day Wait for first treatment By Cancer","1.000","0.0","13.0","2016","4"
"NVM","31 Day Wait for first treatment By Cancer","1.000","0.0","12.0","2016","5"
"NVM","31 Day Wait for first treatment By Cancer","1.000","0.0","12.0","2016","6"
"NVM","31 Day Wait for first treatment By Cancer","1.000","0.0","15.0","2016","7"
"NVM","31 Day Wait for first treatment By Cancer","1.000","0.0","8.0","2016","8"
"NVM","31 Day Wait for first treatment By Cancer","1.000","0.0","5.0","2016","9"
"NVM","31 Day Wait for first treatment By Cancer","1.000","0.0","10.0","2016","10"
"NVM","31 Day Wait for first treatment By Cancer","1.000","0.0","4.0","2016","11"
"NVM","31 Day Wait for first treatment By Cancer","1.000","0.0","27.0","2016","12"
"NYG","31 Day Wait for first treatment By Cancer","1.000","0.0","4.0","2016","2"
"NYG","31 Day Wait for first treatment By Cancer","1.000","0.0","3.0","2016","3"
"NYT","31 Day Wait for first treatment By Cancer","1.000","0.0","3.0","2016","1"
"NYT","31 Day Wait for first treatment By Cancer","1.000","0.0","5.0","2016","2"
"NYT","31 Day Wait for first treatment By Cancer","1.000","0.0","2.0","2016","5"
"NYT","31 Day Wait for first treatment By Cancer","1.000","0.0","6.0","2016","6"
"NYT","31 Day Wait for first treatment By Cancer","1.000","0.0","6.0","2016","11"
"R1F","31 Day Wait for first treatment By Cancer","1.000","0.0","62.0","2016","1"
"R1F","31 Day Wait for first treatment By Cancer","1.000","0.0","86.0","2016","4"
"R1F","31 Day Wait for first treatment By Cancer","1.000","0.0","67.0","2016","5"
"R1F","31 Day Wait for first treatment By Cancer","1.000","0.0","65.0","2016","6"
"R1F","31 Day Wait for first treatment By Cancer","1.000","0.0","62.0","2016","7"
"R1F","31 Day Wait for first treatment By Cancer","1.000","0.0","76.0","2016","8"
"R1F","31 Day Wait for first treatment By Cancer","1.000","0.0","63.0","2016","9"
"R1F","31 Day Wait for first treatment By Cancer","1.000","0.0","45.0","2016","12"
"R1K","31 Day Wait for first treatment By Cancer","1.000","0.0","123.0","2016","5"
"RA3","31 Day Wait for first treatment By Cancer","1.000","0.0","42.0","2016","2"
"RA3","31 Day Wait for first treatment By Cancer","1.000","0.0","34.0","2016","4"
"RA3","31 Day Wait for first treatment By Cancer","1.000","0.0","36.0","2016","6"
"RA3","31 Day Wait for first treatment By Cancer","1.000","0.0","37.0","2016","7"
"RA3","31 Day Wait for first treatment By Cancer","1.000","0.0","48.0","2016","8"
"RA3","31 Day Wait for first treatment By Cancer","1.000","0.0","50.0","2016","10"
"RA3","31 Day Wait for first treatment By Cancer","1.000","0.0","53.0","2016","11"
"RA3","31 Day Wait for first treatment By Cancer","1.000","0.0","50.0","2016","12"
"RA4","31 Day Wait for first treatment By Cancer","1.000","0.0","70.0","2016","6"
"RA4","31 Day Wait for first treatment By Cancer","1.000","0.0","84.0","2016","9"
"RA4","31 Day Wait for first treatment By Cancer","1.000","0.0","76.0","2016","12"
"RAE","31 Day Wait for first treatment By Cancer","1.000","0.0","109.0","2016","3"
"RAE","31 Day Wait for first treatment By Cancer","1.000","0.0","124.0","2016","7"
"RAL","31 Day Wait for first treatment By Cancer","1.000","0.0","194.0","2016","11"
"RAN","31 Day Wait for first treatment By Cancer","1.000","0.0","12.0","2016","11"
"RAP","31 Day Wait for first treatment By Cancer","1.000","0.0","86.0","2016","2"
"RAP","31 Day Wait for first treatment By Cancer","1.000","0.0","73.0","2016","5"
"RAP","31 Day Wait for first treatment By Cancer","1.000","0.0","61.0","2016","7"
"RAP","31 Day Wait for first treatment By Cancer","1.000","0.0","92.0","2016","8"
"RAP","31 Day Wait for first treatment By Cancer","1.000","0.0","89.0","2016","11"
"RAP","31 Day Wait for first treatment By Cancer","1.000","0.0","86.0","2016","12"
"RAS","31 Day Wait for first treatment By Cancer","1.000","0.0","70.0","2016","5"
"RAS","31 Day Wait for first treatment By Cancer","1.000","0.0","82.0","2016","6"
"RAX","31 Day Wait for first treatment By Cancer","1.000","0.0","93.0","2016","4"
"RAX","31 Day Wait for first treatment By Cancer","1.000","0.0","74.0","2016","5"
"RAX","31 Day Wait for first treatment By Cancer","1.000","0.0","70.0","2016","7"
"RAX","31 Day Wait for first treatment By Cancer","1.000","0.0","80.0","2016","8"
"RAX","31 Day Wait for first treatment By Cancer","1.000","0.0","99.0","2016","9"
"RAX","31 Day Wait for first treatment By Cancer","1.000","0.0","98.0","2016","10"
"RAX","31 Day Wait for first treatment By Cancer","1.000","0.0","90.0","2016","11"
"RBD","31 Day Wait for first treatment By Cancer","1.000","0.0","92.0","2016","1"
"RBD","31 Day Wait for first treatment By Cancer","1.000","0.0","90.0","2016","2"
"RBD","31 Day Wait for first treatment By Cancer","1.000","0.0","91.0","2016","7"
"RBD","31 Day Wait for first treatment By Cancer","1.000","0.0","97.0","2016","11"
"RBD","31 Day Wait for first treatment By Cancer","1.000","0.0","86.0","2016","12"
"RBK","31 Day Wait for first treatment By Cancer","1.000","0.0","106.0","2016","3"
"RBK","31 Day Wait for first treatment By Cancer","1.000","0.0","77.0","2016","4"
"RBK","31 Day Wait for first treatment By Cancer","1.000","0.0","81.0","2016","5"
"RBK","31 Day Wait for first treatment By Cancer","1.000","0.0","84.0","2016","6"
"RBK","31 Day Wait for first treatment By Cancer","1.000","0.0","88.0","2016","7"
"RBK","31 Day Wait for first treatment By Cancer","1.000","0.0","82.0","2016","12"
"RBN","31 Day Wait for first treatment By Cancer","1.000","0.0","181.0","2016","7"
"RBQ","31 Day Wait for first treatment By Cancer","1.000","0.0","40.0","2016","2"
"RBQ","31 Day Wait for first treatment By Cancer","1.000","0.0","50.0","2016","3"
"RBQ","31 Day Wait for first treatment By Cancer","1.000","0.0","32.0","2016","4"
"RBQ","31 Day Wait for first treatment By Cancer","1.000","0.0","47.0","2016","5"
"RBQ","31 Day Wait for first treatment By Cancer","1.000","0.0","39.0","2016","6"
"RBQ","31 Day Wait for first treatment By Cancer","1.000","0.0","49.0","2016","7"
"RBQ","31 Day Wait for first treatment By Cancer","1.000","0.0","53.0","2016","8"
"RBQ","31 Day Wait for first treatment By Cancer","1.000","0.0","44.0","2016","10"
"RBQ","31 Day Wait for first treatment By Cancer","1.000","0.0","33.0","2016","12"
"RBS","31 Day Wait for first treatment By Cancer","1.000","0.0","3.0","2016","4"
"RBS","31 Day Wait for first treatment By Cancer","1.000","0.0","9.0","2016","5"
"RBS","31 Day Wait for first treatment By Cancer","1.000","0.0","2.0","2016","6"
"RBS","31 Day Wait for first treatment By Cancer","1.000","0.0","3.0","2016","7"
"RBS","31 Day Wait for first treatment By Cancer","1.000","0.0","5.0","2016","9"
"RBS","31 Day Wait for first treatment By Cancer","1.000","0.0","6.0","2016","10"
"RBS","31 Day Wait for first treatment By Cancer","1.000","0.0","12.0","2016","12"
"RBT","31 Day Wait for first treatment By Cancer","1.000","0.0","92.0","2016","2"
"RBT","31 Day Wait for first treatment By Cancer","1.000","0.0","77.0","2016","3"
"RBT","31 Day Wait for first treatment By Cancer","1.000","0.0","88.0","2016","4"
"RBT","31 Day Wait for first treatment By Cancer","1.000","0.0","79.0","2016","5"
"RBT","31 Day Wait for first treatment By Cancer","1.000","0.0","93.0","2016","6"
"RBT","31 Day Wait for first treatment By Cancer","1.000","0.0","101.0","2016","8"
"RBT","31 Day Wait for first treatment By Cancer","1.000","0.0","92.0","2016","9"
"RBT","31 Day Wait for first treatment By Cancer","1.000","0.0","85.0","2016","10"
"RBT","31 Day Wait for first treatment By Cancer","1.000","0.0","99.0","2016","11"
"RBT","31 Day Wait for first treatment By Cancer","1.000","0.0","72.0","2016","12"
"RBZ","31 Day Wait for first treatment By Cancer","1.000","0.0","84.0","2016","1"
"RBZ","31 Day Wait for first treatment By Cancer","1.000","0.0","62.0","2016","2"
"RBZ","31 Day Wait for first treatment By Cancer","1.000","0.0","77.0","2016","3"
"RBZ","31 Day Wait for first treatment By Cancer","1.000","0.0","73.0","2016","5"
"RBZ","31 Day Wait for first treatment By Cancer","1.000","0.0","106.0","2016","10"
"RBZ","31 Day Wait for first treatment By Cancer","1.000","0.0","104.0","2016","11"
"RC1","31 Day Wait for first treatment By Cancer","1.000","0.0","102.0","2016","9"
"RC9","31 Day Wait for first treatment By Cancer","1.000","0.0","97.0","2016","1"
"RC9","31 Day Wait for first treatment By Cancer","1.000","0.0","101.0","2016","2"
"RC9","31 Day Wait for first treatment By Cancer","1.000","0.0","102.0","2016","3"
"RC9","31 Day Wait for first treatment By Cancer","1.000","0.0","104.0","2016","4"
"RC9","31 Day Wait for first treatment By Cancer","1.000","0.0","105.0","2016","6"
"RC9","31 Day Wait for first treatment By Cancer","1.000","0.0","124.0","2016","7"
"RC9","31 Day Wait for first treatment By Cancer","1.000","0.0","97.0","2016","8"
"RC9","31 Day Wait for first treatment By Cancer","1.000","0.0","104.0","2016","9"
"RC9","31 Day Wait for first treatment By Cancer","1.000","0.0","103.0","2016","11"
"RC9","31 Day Wait for first treatment By Cancer","1.000","0.0","97.0","2016","12"
"RCB","31 Day Wait for first treatment By Cancer","1.000","0.0","241.0","2016","6"
"RCD","31 Day Wait for first treatment By Cancer","1.000","0.0","88.0","2016","1"
"RCD","31 Day Wait for first treatment By Cancer","1.000","0.0","80.0","2016","2"
"RCD","31 Day Wait for first treatment By Cancer","1.000","0.0","60.0","2016","4"
"RCD","31 Day Wait for first treatment By Cancer","1.000","0.0","83.0","2016","6"
"RCD","31 Day Wait for first treatment By Cancer","1.000","0.0","91.0","2016","7"
"RCD","31 Day Wait for first treatment By Cancer","1.000","0.0","87.0","2016","8"
"RCF","31 Day Wait for first treatment By Cancer","1.000","0.0","80.0","2016","1"
"RCF","31 Day Wait for first treatment By Cancer","1.000","0.0","46.0","2016","2"
"RCF","31 Day Wait for first treatment By Cancer","1.000","0.0","58.0","2016","3"
"RCF","31 Day Wait for first treatment By Cancer","1.000","0.0","70.0","2016","4"
"RCF","31 Day Wait for first treatment By Cancer","1.000","0.0","61.0","2016","5"
"RCF","31 Day Wait for first treatment By Cancer","1.000","0.0","74.0","2016","6"
"RCF","31 Day Wait for first treatment By Cancer","1.000","0.0","69.0","2016","7"
"RCF","31 Day Wait for first treatment By Cancer","1.000","0.0","78.0","2016","8"
"RCF","31 Day Wait for first treatment By Cancer","1.000","0.0","65.0","2016","10"
"RCF","31 Day Wait for first treatment By Cancer","1.000","0.0","81.0","2016","11"
"RCF","31 Day Wait for first treatment By Cancer","1.000","0.0","61.0","2016","12"
"RCU","31 Day Wait for first treatment By Cancer","1.000","0.0","8.0","2016","1"
"RCU","31 Day Wait for first treatment By Cancer","1.000","0.0","6.0","2016","2"
"RCU","31 Day Wait for first treatment By Cancer","1.000","0.0","6.0","2016","3"
"RCU","31 Day Wait for first treatment By Cancer","1.000","0.0","5.0","2016","4"
